employee_id,name,department,course_id_x,title,Average Completion Percentage,Average Score,Average Time to Completion,Expected Time to Complete,Time_Efficiency
EMP013,Cynthia Sullivan,Data Scientist,C01,User Research and Testing Methods,63.8880284549676,29.010490225342544,224.90679921171463,192.8949072134656,116.59550916127783
EMP013,Cynthia Sullivan,Data Scientist,C02,Responsive Web Design Principles,46.803353518269226,29.010490225342544,253.9618377383259,195.35758769937237,129.99845090692725
EMP013,Cynthia Sullivan,Data Scientist,C04,Introduction to Artificial Intelligence,50.0,29.010490225342544,87.37230947797813,191.3384382384716,45.66375177008764
EMP013,Cynthia Sullivan,Data Scientist,C06,Continuous Integration and Continuous Deployment (CI/CD),76.67993809650841,29.010490225342544,313.98953596519016,180.77387526523208,173.69187638673097
EMP013,Cynthia Sullivan,Data Scientist,C07,Deep Learning with TensorFlow,92.84976362871572,29.010490225342544,335.27117213472116,184.85158126853045,181.3731696715534
EMP013,Cynthia Sullivan,Data Scientist,C08,Automation Testing with Selenium,48.52548614919238,29.010490225342544,212.94308997133092,189.56650418225973,112.33160145560083
EMP013,Cynthia Sullivan,Data Scientist,C09,Cybersecurity Fundamentals,16.671234920612775,29.010490225342544,118.56651513935454,192.9865633640857,61.43770481868659
EMP013,Cynthia Sullivan,Data Scientist,C10,Machine Learning Fundamentals,51.68088707178322,29.010490225342544,244.504481882451,180.65701681990782,135.34181300369363
EMP013,Cynthia Sullivan,Data Scientist,C11,iOS App Development with Swift,29.70119978256531,29.010490225342544,196.99617281055546,186.66484262293875,105.5346952551134
EMP013,Cynthia Sullivan,Data Scientist,C12,Prototyping with Figma,61.69396584127918,29.010490225342544,250.64565178567392,201.96181039605412,124.10546889738663
